D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,burnout_cat
2,3,2,3,4,2,2,3,3,2,4,2,2,3,2,2,3
2,3,2,3,2,2,3,3,2,2,3,2,3,3,3,2,3
2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3
2,3,2,2,3,2,3,3,4,2,2,3,2,2,3,2,3
2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3
2,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,3
2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,2,3
2,3,2,2,3,3,1,3,3,2,2,3,3,3,2,2,3
2,3,2,3,2,2,2,3,3,2,3,2,2,3,3,2,3
2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3
2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,1,3
2,2,2,3,3,2,2,3,4,2,2,2,2,3,2,3,3
2,4,1,2,2,2,3,3,2,3,4,2,2,2,3,2,3
2,3,2,2,2,2,4,2,3,3,2,2,2,3,2,3,3
2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3
2,2,2,3,2,2,2,3,3,2,3,2,3,3,2,2,3
1,3,2,2,2,2,3,3,3,2,2,2,3,3,3,2,3
2,3,1,2,2,2,3,3,3,2,3,2,2,3,3,2,3
1,3,1,3,2,2,3,3,3,2,3,2,3,2,3,2,3
2,3,2,3,1,2,3,2,4,3,2,2,2,2,3,2,3
2,3,3,2,2,2,1,3,3,2,3,2,2,2,4,2,3
2,2,2,1,2,2,4,2,2,2,4,2,3,2,3,2,3
2,3,2,3,3,2,3,3,3,2,3,2,2,2,2,3,3
2,3,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
2,3,2,3,2,2,3,3,4,2,3,2,2,2,2,2,3
2,2,3,3,3,3,2,2,3,2,2,2,3,2,3,2,3
2,2,2,3,2,2,3,3,3,2,3,2,2,2,2,3,3
2,3,2,3,2,2,2,3,3,2,3,2,3,2,2,2,3
1,3,1,3,2,3,3,3,3,2,3,2,2,2,3,2,3
1,4,1,3,3,2,3,2,1,2,2,3,2,3,3,3,3
2,3,2,4,2,2,2,2,4,3,3,1,2,2,2,2,3
2,3,1,3,2,2,3,3,3,2,2,2,3,3,2,2,3
2,3,2,2,2,2,3,3,3,2,3,2,3,2,2,2,3
2,3,1,2,2,2,3,3,3,1,3,2,3,2,3,2,3
2,3,2,3,2,2,2,2,2,2,3,3,3,1,2,3,3
4,4,1,1,1,1,3,3,4,2,2,2,3,4,1,1,3
2,3,1,3,2,2,3,2,3,2,2,2,2,3,3,2,3
2,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3
2,3,2,2,3,2,2,1,3,3,2,2,2,3,2,2,3
2,3,1,3,2,2,2,2,3,3,2,2,2,3,2,2,3
2,3,2,3,2,2,2,1,3,3,3,2,2,2,2,2,3
4,2,3,4,1,3,3,3,1,4,2,1,2,2,4,2,3
2,4,2,3,3,2,3,3,3,2,2,2,2,3,2,2,3
2,4,2,3,3,3,3,2,3,2,2,2,2,3,2,2,3
2,4,2,3,2,2,4,2,4,2,1,1,3,2,3,2,3
2,3,2,3,2,3,4,2,3,2,2,2,2,1,4,2,3
2,2,2,3,3,4,2,2,2,2,2,2,2,2,3,3,3
3,4,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3
1,3,1,4,2,3,3,3,2,2,3,2,2,2,3,2,3
2,3,2,3,2,2,2,3,3,2,2,2,3,2,2,2,3
2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,3
2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,3,3
2,3,1,4,2,3,1,2,4,3,2,2,2,2,2,1,3
2,3,1,3,3,2,3,1,3,3,2,2,2,2,2,2,3
2,3,1,3,1,2,2,3,3,3,2,2,2,2,3,1,3
1,3,1,2,2,2,3,3,3,2,2,2,3,2,2,2,3
2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3
1,3,2,3,2,2,1,3,2,2,2,2,3,2,3,2,3
2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,3
1,2,1,3,2,3,2,3,3,2,3,2,4,3,3,3,3
1,4,2,4,4,1,4,4,4,4,4,1,1,1,1,1,1
2,3,2,3,3,2,3,3,3,2,2,2,2,2,2,2,1
2,3,2,3,3,2,3,2,3,2,2,2,2,2,1,3,1
2,3,2,3,2,3,3,2,3,2,2,2,2,2,2,2,1
2,3,2,3,3,2,1,3,3,2,2,2,2,2,2,2,1
1,4,1,4,3,1,4,1,4,4,1,3,1,1,1,2,1
1,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,1
4,2,2,2,2,2,1,3,2,2,2,2,3,2,2,2,1
2,3,2,3,2,2,2,2,3,1,2,2,2,3,2,2,1
1,3,2,2,3,1,3,3,4,2,2,1,2,2,2,2,1
2,2,1,2,3,2,3,2,3,2,2,2,2,2,2,2,1
4,2,2,3,1,2,1,2,3,1,2,1,3,1,3,3,1
2,2,2,3,2,2,2,2,1,4,2,2,2,2,2,2,1
1,3,1,3,1,2,4,2,3,2,3,2,1,2,2,2,1
2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,1
1,4,1,3,3,2,3,3,3,1,2,2,3,2,2,1,1
2,3,2,2,2,2,3,4,2,2,2,2,2,2,2,2,1
2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1
1,3,2,3,3,2,3,2,3,1,2,2,3,2,2,1,1
2,2,2,3,3,2,3,1,3,2,2,2,2,2,2,1,1
2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1
2,3,2,3,2,2,3,2,2,2,3,1,2,2,2,1,1
2,2,1,2,4,2,3,3,2,1,1,1,3,2,2,2,1
2,2,2,3,2,2,3,2,2,1,2,1,1,2,3,2,1
2,3,1,3,3,1,3,2,2,3,1,2,1,1,2,2,1
1,2,2,3,2,2,1,3,4,2,2,2,3,4,4,2,2
2,2,1,3,2,2,1,3,4,3,3,2,2,3,3,3,2
1,2,2,1,2,2,2,3,4,3,3,2,3,3,3,2,2
2,2,1,3,1,1,1,2,3,2,3,2,3,4,4,2,2
2,3,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2
2,3,1,3,1,2,2,2,3,2,3,2,4,3,3,2,2
1,2,1,3,2,3,1,2,4,2,4,2,2,2,3,3,2
1,3,2,3,2,1,1,2,3,2,3,2,4,3,3,2,2
1,3,1,3,2,2,1,3,3,2,3,2,3,3,3,2,2
2,3,2,2,2,2,1,2,3,3,3,2,3,2,3,2,2
2,2,1,2,2,1,3,2,3,3,2,3,2,3,3,2,2
2,3,1,2,2,1,2,2,4,1,3,2,3,3,3,2,2
1,2,1,1,1,3,1,3,2,2,3,3,2,3,3,3,2
2,2,1,2,2,2,2,3,3,2,3,2,3,2,3,2,2
1,3,1,2,2,2,2,3,3,2,2,2,3,3,3,2,2
1,3,1,1,2,2,1,3,3,2,2,2,3,3,3,2,2
1,3,2,2,2,1,2,1,3,3,2,2,3,3,2,2,2
2,2,2,2,2,2,2,2,1,2,4,2,1,4,3,2,2
2,2,1,2,2,2,2,2,2,3,3,2,2,3,2,2,2
1,2,2,3,3,2,1,1,3,2,2,2,3,2,3,2,2
1,2,2,2,2,2,2,2,3,3,3,1,2,2,3,2,2
2,2,1,2,2,2,2,2,3,2,3,2,2,2,3,2,2
1,1,1,3,2,1,1,2,2,2,3,2,2,3,2,3,2
2,3,2,3,1,2,1,2,3,2,3,2,2,3,2,1,2
2,3,1,2,2,2,2,2,3,2,2,2,3,2,2,2,2
2,2,1,2,3,2,2,1,3,2,2,2,2,3,1,3,2
2,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,2
1,3,1,3,2,1,2,2,3,2,3,2,2,2,3,1,2
1,4,1,1,1,1,4,1,3,2,3,1,4,1,1,3,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1,4,1,2,2,2,2,2,3,2,2,1,1,2,3,2,0
2,2,1,1,2,1,3,2,3,2,2,1,2,3,1,2,0
1,2,1,3,2,1,3,1,3,2,2,2,2,2,2,1,0
2,2,2,1,2,1,3,1,2,2,1,2,2,3,2,2,0
2,1,1,1,2,1,1,1,4,2,2,2,1,1,3,1,0
2,3,1,3,2,1,1,1,2,2,2,1,2,2,2,2,0
2,2,1,2,1,1,2,2,2,1,4,1,2,2,2,1,0
1,2,1,3,2,1,1,1,2,2,2,2,2,1,2,2,0
2,3,2,3,2,2,1,1,1,1,2,2,2,3,1,2,0
1,3,1,2,1,1,4,1,4,1,1,1,1,1,1,4,0
1,4,1,1,1,2,1,1,3,1,4,1,1,1,2,1,0
1,3,1,2,1,1,1,1,2,2,1,3,2,2,1,1,0
2,2,2,3,1,2,3,1,3,2,2,2,1,1,1,1,0
2,2,2,2,2,1,3,1,3,1,2,1,1,1,2,2,0
1,2,1,3,1,1,1,1,1,1,3,1,2,2,2,1,0
2,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,0
2,3,2,1,2,2,2,2,2,1,1,2,1,1,2,2,0
1,3,1,2,1,1,4,1,2,2,1,1,1,1,2,1,0
1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,0
1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0
1,2,1,4,1,2,3,2,3,1,2,2,3,2,2,2,0
2,3,2,1,2,2,2,1,3,2,2,2,2,2,2,2,0
